,px,py,pz,qw,qx,qy,qz,sx,sy,sz,color_r,color_g,color_b,color_a
97,-1.30738273824629,-0.649294661956941,3.19105107485716,0.48987502454553,-0.393060599724573,0.633390657805031,0.452042143915792,1,1,1,0,0,1,0.5
98,-1.18782703522743,-0.660156549899881,3.21108400106613,0.483070330023875,-0.400546541872253,0.631767715293325,0.455055027395431,1,1,1,0,0,1,0.5
99,-1.06766507781228,-0.667860225417332,3.22952412295302,0.477365477744837,-0.406955553966462,0.63017872659586,0.457585129018977,1,1,1,0,0,1,0.5
100,-0.946950691217462,-0.672398345107672,3.24635820238826,0.47270225763845,-0.412407657420725,0.628496640272134,0.459852664329459,1,1,1,0,0,1,0.5
101,-0.825730812344482,-0.673768581351757,3.26157875178423,0.468897128951755,-0.417084323663652,0.626771032562465,0.461881177528828,1,1,1,0,0,1,0.5
102,-0.704044645368895,-0.671964697851876,3.27518168318286,0.465636928820643,-0.421216020690947,0.625312565948825,0.463404261199937,1,1,1,0,0,1,0.5
103,-0.581927226616206,-0.666991286677925,3.28716482152048,0.462743564917588,-0.424954836093617,0.624212437887231,0.464371201513281,1,1,1,0,0,1,0.5
104,-0.459405326807284,-0.658839254287009,3.29752289710128,0.460093048599964,-0.428434387824901,0.623389592317927,0.464912656473001,1,1,1,0,0,1,0.5
105,-0.336499624420681,-0.647487363435629,3.30624767199835,0.457652096766548,-0.43172755008364,0.622631879458673,0.46529068710401,1,1,1,0,0,1,0.5
106,-0.213230530520386,-0.63292405333195,3.31333236524728,0.455373906701816,-0.434890410683315,0.621882064223496,0.465583111794174,1,1,1,0,0,1,0.5
107,-0.0896186198385913,-0.615146583931709,3.31877170300795,0.452992539210437,-0.438114246330236,0.621386141869892,0.465545840142751,1,1,1,0,0,1,0.5
108,0.0343125599870099,-0.594178060851062,3.32256165426006,0.450289417066084,-0.441558735668908,0.621309643173145,0.465015753639402,1,1,1,0,0,1,0.5
